FID,FID_1,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area,Count_,Sum_Id,IsDestination?,FlatbushDest,ChinaDest,JamicaDest,OriginChina,DONOTUSE,OriginFlat,DoNotUse,OriginJamica
130,130,268,3,Brooklyn,026800,3026800,E,BK28,Bensonhurst West,4017,6339.144273,1926489.204,0,0,0,0,0,0,0,0,0,0,0
131,131,269,3,Brooklyn,026900,3026900,E,BK75,Bedford,4003,5051.018932,1441848.772,0,0,0,0,0,0,0,0,0,0,0
132,132,270,3,Brooklyn,027000,3027000,E,BK28,Bensonhurst West,4017,5255.801029,1444005.643,0,0,0,0,0,0,0,0,0,0,0
133,133,271,3,Brooklyn,027100,3027100,E,BK61,Crown Heights North,4006,9484.867868,2767038.927,0,0,0,0,0,0,0,0,0,0,0
134,134,272,3,Brooklyn,027200,3027200,E,BK28,Bensonhurst West,4017,7299.797656,1422363.429,0,0,0,0,0,0,0,0,0,0,0
135,135,273,3,Brooklyn,027300,3027300,I,BK35,Stuyvesant Heights,4003,5273.313701,1611451.005,0,0,0,0,0,0,0,0,0,0,0
136,136,274,3,Brooklyn,027400,3027400,E,BK28,Bensonhurst West,4017,6175.275942,1758627.07,0,0,0,0,0,0,0,0,0,0,0
137,137,276,3,Brooklyn,027600,3027600,E,BK28,Bensonhurst West,4017,6258.678985,1607862.58,0,0,0,0,0,0,0,0,0,0,0
138,138,278,3,Brooklyn,027800,3027800,E,BK28,Bensonhurst West,4017,6104.407843,1727742.077,0,0,0,0,0,0,0,0,0,0,0
139,139,279,3,Brooklyn,027900,3027900,E,BK35,Stuyvesant Heights,4003,5389.745821,1743087.978,0,0,0,0,0,0,0,0,0,0,0
140,140,284,3,Brooklyn,028400,3028400,E,BK28,Bensonhurst West,4017,6096.044707,1768012.327,0,0,0,0,0,0,0,0,0,0,0
141,141,285.01,3,Brooklyn,028501,3028501,I,BK78,Bushwick South,4002,4167.689616,895739.7492,0,0,0,0,0,0,0,0,0,0,0
142,142,288,3,Brooklyn,028800,3028800,E,BK28,Bensonhurst West,4017,5777.687908,1644934.101,0,0,0,0,0,0,0,0,0,0,0
143,143,290,3,Brooklyn,029000,3029000,E,BK28,Bensonhurst West,4017,5799.041489,1665073.432,0,0,0,0,0,0,0,0,0,0,0
144,144,291,3,Brooklyn,029100,3029100,E,BK35,Stuyvesant Heights,4003,5439.939153,1772059.652,0,0,0,0,0,0,0,0,0,0,0
145,145,293,3,Brooklyn,029300,3029300,E,BK35,Stuyvesant Heights,4003,5437.785217,1770060.576,0,0,0,0,0,0,0,0,0,0,0
146,146,296,3,Brooklyn,029600,3029600,E,BK28,Bensonhurst West,4017,7396.971342,2300496.656,0,0,0,0,0,0,0,0,0,0,0
147,147,297,3,Brooklyn,029700,3029700,I,BK61,Crown Heights North,4006,5858.602491,2212767.942,0,0,0,0,0,0,0,0,0,0,0
148,148,298,3,Brooklyn,029800,3029800,E,BK29,Bensonhurst East,4017,7431.077921,2379873.998,0,0,0,0,0,0,0,0,0,0,0
149,149,300,3,Brooklyn,030000,3030000,E,BK29,Bensonhurst East,4017,7243.131793,2099451.008,0,0,0,0,0,0,0,0,0,0,0
150,150,302,3,Brooklyn,030200,3030200,E,BK29,Bensonhurst East,4017,6921.914365,2273119.703,0,0,0,0,0,0,0,0,0,0,0
151,151,305,3,Brooklyn,030500,3030500,E,BK61,Crown Heights North,4006,7369.206067,3474329.276,0,0,0,0,0,0,0,0,0,0,0
152,152,309,3,Brooklyn,030900,3030900,E,BK61,Crown Heights North,4006,5470.581443,1587377.38,1,0,1,1,0,0,0,0,0,0,0
153,153,317.01,3,Brooklyn,031701,3031701,E,BK61,Crown Heights North,4006,5033.486008,1504293.97,0,0,0,0,0,0,0,0,0,0,0
154,154,323,3,Brooklyn,032300,3032300,E,BK63,Crown Heights South,4011,6269.420677,1862860.631,0,0,0,0,0,0,0,0,0,0,0
155,155,326,3,Brooklyn,032600,3032600,E,BK21,Seagate-Coney Island,4018,7873.196646,3542642.382,0,0,0,0,0,0,0,0,0,0,0
156,156,329,3,Brooklyn,032900,3032900,E,BK60,Prospect Lefferts Gardens-Wingate,4011,7138.852587,1683542.518,0,0,0,0,0,0,0,0,0,0,0
157,157,331,3,Brooklyn,033100,3033100,E,BK63,Crown Heights South,4011,7551.857278,1533546.737,1,0,1,1,0,0,0,0,0,0,0
158,158,333,3,Brooklyn,033300,3033300,E,BK63,Crown Heights South,4011,7463.479724,2005662.99,1,0,1,1,0,0,0,0,0,0,0
159,159,335,3,Brooklyn,033500,3033500,E,BK63,Crown Heights South,4011,7422.437709,1944377.33,1,0,1,1,0,0,0,0,0,0,0
160,160,337,3,Brooklyn,033700,3033700,E,BK61,Crown Heights North,4006,7545.478656,2126882.313,1,0,1,1,0,0,0,0,0,0,0
161,161,339,3,Brooklyn,033900,3033900,E,BK61,Crown Heights North,4006,7419.803724,1945657.745,1,0,1,1,0,0,0,0,0,0,0
162,162,341,3,Brooklyn,034100,3034100,E,BK61,Crown Heights North,4006,5030.776599,1504308.071,0,0,0,0,0,0,0,0,0,0,0
163,163,342,3,Brooklyn,034200,3034200,E,BK21,Seagate-Coney Island,4018,7381.417191,2475181.542,0,0,0,0,0,0,0,0,0,0,0
164,164,363,3,Brooklyn,036300,3036300,E,BK79,Ocean Hill,4007,8445.466805,2785736.307,1,0,1,1,0,0,0,0,0,0,0
165,165,365.02,3,Brooklyn,036502,3036502,E,BK79,Ocean Hill,4007,6132.196174,1252061.645,0,0,0,0,0,0,0,0,0,0,0
166,166,388,3,Brooklyn,038800,3038800,E,BK25,Homecrest,4016,5947.056737,2130565.925,0,0,0,0,0,0,0,0,0,0,0
167,167,396,3,Brooklyn,039600,3039600,I,BK25,Homecrest,4016,5569.960507,1757819.546,0,0,0,0,0,0,0,0,0,0,0
168,168,397,3,Brooklyn,039700,3039700,E,BK78,Bushwick South,4002,6560.681694,1712820.273,0,0,0,0,0,0,0,0,0,0,0
169,169,399,3,Brooklyn,039900,3039900,E,BK78,Bushwick South,4002,6391.348879,1627809.303,0,0,0,0,0,0,0,0,0,0,0
170,170,401,3,Brooklyn,040100,3040100,E,BK78,Bushwick South,4002,5246.300165,1718318.934,0,0,0,0,0,0,0,0,0,0,0
171,171,404,3,Brooklyn,040400,3040400,I,BK29,Bensonhurst East,4017,7953.541649,1653839.791,0,0,0,0,0,0,0,0,0,0,0
172,172,406,3,Brooklyn,040600,3040600,E,BK29,Bensonhurst East,4017,5548.54636,1582378.666,0,0,0,0,0,0,0,0,0,0,0
